category,task,confidence,original_review
netcode/desync,optimize server synchronization,0.9,"So I just tried of constant crashes of the game. Yes I turned of RTX, yes I reduced some graphic enchantments, and have a top hardware every match the game just crash. So I have only one option go to free load out and cut off my self from a 90% content and fun of the game"
netcode/desync,Optimize server synchronization,1.0,"The game has absolutely fantastic graphics, audio, animations, AI, optimization."
netcode/desync,optimize server synchronization,0.8,"At first, I was super against it. Being an Iron Mace/ Dark and Darker fan; I felt like I was betraying them. I also know the state of video games today; there is massive hype, and then its forgotten about quickly. I played the slam server and felt like I was trying to stay afloat with the PVE being so smart (they have AI so they adapt to how you fight them). Alas, i bought it because my brother and his friend wanted to play it. The gameplay is fun and engaging, but there are some issues that could be improved."
netcode/desync,"optimize server synchronization, balance weapon damage curves, fix hatch escape mechanics",0.95,"So far, the biggest issues I have with this game are the terrible desync and how it affects PvP combat. It makes fights feel much less skill-based than they should be. Extraction is also way too fast, players can escape far too easily. The hatches that allow instant escapes are completely broken, too."
netcode/desync,optimize server synchronization,0.9,My new crack.
netcode/desync,optimize server synchronization,0.8,"[h1] Overhyped[/h1]

I don't understand why we couldn't have the workshop be our own place that you can decorate and walk in? Same with traders being an actual hub where you can see people? Why is it just a menu? 
Why is the game just looting to make better gear, but why would I risk better gear when I can use free loadout every time? There isn't enough depth or progression to tide people over for longer than a month or two.
Also character creation is abismal."
netcode/desync,optimize server synchronization,0.9,"Great game, lots of fun with friends. some bugs like disconnecting during rounds, but quick fix is CMD commands like ipconfig, flushdns, etc. until the fix the disconnection issues."
netcode/desync,optimize server synchronization,0.9,"Very worth the price!! 4/5, servers needs to solve desync and better optimization, I play multiple games with wifi no problem but this and the finals struggle for some reason"
netcode/desync,Optimize server synchronization to prevent token deletion after purchase expiration.,0.95,"BEWARE RAIDERS!! Embark must've made a deal with the devilARCS themselves..... Unacceptable that the paid currency expires after 180 days. If you paid for the deluxe edition, know that the Tokens will be deleted from your account after 180 days of purchase. Absolutely Unacceptable. This was shaping up to be a near perfect game... I knew there had to be a catch somewhere. If you go to the tab that shows your currency, it details the terms as stated above."
netcode/desync,optimize server synchronization,1.0,"The desync in this game is absolutely AWFUL! You get shot behind cover, shot through walls, shot without seeing the other person, shot without even knowing what's going on. It is ABSOLUTELY UNPLAYABLE in its current state with PVP"
netcode/desync,Optimize server synchronization,0.95,"Spent the last 3-4 days trying to play the game but wont even launch keeps saying ""Failed to install Easy Anti Cheats"" ive uninstalled and reinstalled the game like 5-6 times and still the same the ive looked up many diff. ways to fix it and nothing works i just was to play the game and i cant even do that."
netcode/desync,optimize server synchronization and rebalance weapon damage curves to make PvP more fair for casual players.,0.8,"I have reached level 40 within a week of release, and while the game is highly polished there is one massive issue that is has the potential to make myself and all my friends leave this game."
performance/fps,Optimize TPP gameplay mechanics to improve speed and excitement.,0.8,slow boring tpp
netcode/desync,optimize server synchronization,0.9,ESSES ROBO NN TA COM NADA HAHAHAHAHAHAHHAHAHAHA
netcode/desync,Optimize server synchronization,1.0,absolutely awsome cant stopp playing and well optimised
netcode/desync,optimize server synchronization,1.0,Bad cant enter game cause connection to arc server is lost
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,I laughed! I cried! I lost 10 pounds! Best $40 you can spend in gaming in 2025.
netcode/desync,Optimize server synchronization,0.8,"For the people that say don't shoot then proceed to shoot, you can find rope in research and development."
netcode/desync,optimize server synchronization,0.8,Eu não gosto de jogo de tiro em terceira pessoa e também não gosto muito de jogo pós apocaliptico/futurista e mesmo assim estou me amarrando nesse jogo. Isso mostra a qualidade do bagulho.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Until they fix the issue that the game keeps running after exiting - crashing PC and eating up resource, I can't give it a good review."
other,Improve visuals,0.8,1
netcode/desync,optimize server synchronization,0.9,"Was hoping for more depth. Gameplay is fun, but that alone isn't enough to keep me playing. Fun for a week or so but lacks meaningful progression. Desync everywhere. Overall just feels very surface level on what it could be."
netcode/desync,optimize server synchronization,0.9,the game is a real good game but the fact that solos run around teaming is a huge problem with the game. if i had to choose between spending 40 on this or rebuying tarkov id just rebuy tarkov. hell even arena breakout: infinite has it right. you literally cant go a single game in solos without finding 5 other solos playing together. its rediculous. if your a solo player with no intentions to communicate with others dont even touch this garbage.
